title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Four jackies,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen,$2.2K,$1.9M,859.1x,16 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/four-jackies-1964-w:f713299d693a731,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN07797lot39.jpg
Lavender marilyn (1),ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$7.2K,$4.6M,647.5x,25 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/lavender-marilyn-(1)-1962-w:18b26b3e3caa51e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN07842lot34.jpg
Self-portrait,ANDY WARHOL (b. 1928 d. 1987),"""diptych--synthetic polymer, metallic paint and silkscreen inks on canvas""",$31.2K,$5.7M,182.1x,24 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/self-portrait-1964-w:568117aea3aa096,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2314lot17.jpg
Smiling jackie,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$8K,$1.2M,144x,31 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/smiling-jackie-1964-w:2f1f4ca41e1f689,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/GN9780lot942.jpg
Flowers,ANDY WARHOL (b. 1928 d. 1987),"""synthetic polymer and silkscreen inks on linen, in two parts""",$46.2K,$4.2M,90.8x,28 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flowers-1965-w:c9083cac2c872cc,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN3740lot222.jpg
Flowers,ANDY WARHOL (b. 1928 d. 1987),"""acrylic and silkscreen ink on canvas, in 6 parts""",$8.6K,$736.7K,86x,12 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flowers-1964-w:8cae45ff8264797,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08442lot211A.jpg
Last supper,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen ink on canvas,$99K,$8.2M,83.2x,30 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/last-supper-1986-w:519489f6f844682,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PNY010318lot58.jpg
Gold jackie,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen on canvas,$6.3K,$478.4K,75.6x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/gold-jackie-1964-w:7e15579606d5846,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN07938lot40.jpg
Eva mudocci (after munch),ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$55.2K,$3.9M,69.8x,16 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/eva-mudocci-(after-munch)-1984-w:c050f249b886ab8,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL14020lot914.jpg
Anna magnani,ANDY WARHOL (b. 1928 d. 1987),16.125 cm,$3.6K,$201.6K,56x,28 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/anna-magnani-1955-w:dea7a47fd12861a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/BNY010421lot1118.jpg
Liz,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$39.6K,$2M,50.5x,16 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/liz-1963-w:250928ef3dc902c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN7384lot22.jpg
Mao,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$1M,$47.5M,45.8x,19 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/mao-1972-w:994d400d11e6199,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN09420lot40.jpg
Two white mona lisas,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$46K,$2M,43.6x,20 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/two-white-mona-lisas-1980-w:1859e8bf1a1bffb,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL16020lot206.jpg
The last supper,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint silkscreened on canvas,$178.5K,$6.8M,38.1x,16 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/the-last-supper-1986-w:72161168914235d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08678lot216.jpg
Four marilyns,ANDY WARHOL (b. 1928 d. 1987),"""acrylic, silkscreen ink and graphite on canvas""",$955.4K,$36M,37.7x,23 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/four-marilyns-1962-w:bc6fc205743935e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PN3790lot23.jpg
Judy garland,ANDY WARHOL (b. 1928 d. 1987),"""synthetic polymer paint and silkscreen ink on canvas, in two parts""",$112.5K,$4.2M,37.4x,11 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/judy-garland-1979-w:73c367ea589218c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL7565lot450.jpg
Jackie,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$52.3K,$1.9M,36.2x,19 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/jackie-1964-w:91ea979e71da808,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1904lot197.jpg
Race riot,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on linen,$1.8M,$62.9M,35.7x,25 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/race-riot-1964-w:e02a788ec89cad6,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2847lot74.jpg
Two marilyns (double marilyn),ANDY WARHOL (b. 1928 d. 1987),silkscreen ink and graphite on canvas,$444K,$15.8M,35.6x,25 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/two-marilyns-(double-marilyn)-1962-w:1c03dc20b5a32ab,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN19809lot40.jpg
Be a somebody with a body,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$6.5K,$226.8K,34.9x,25 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/be-a-somebody-with-a-body-w:d0bb310259a0bea,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN10789lot259.jpg
Dollar sign,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$24.2K,$794.9K,32.8x,27 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/dollar-sign-1981-w:aa2cb54e08e1aca,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL15022lot231.jpg
Jackie,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$5.2K,$168.5K,32.2x,18 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/jackie-1964-w:846bba6c2a22775,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN7656-Mlot105.jpg
