title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Meules,CLAUDE MONET (b. 1840 d. 1926),oil on canvas,$2.5M,$110.7M,43.8x,33 years,https://www.masterworks.com/research/artist/claude-monet/artwork/meules-1890-w:e3bb186afd84448,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN10067lot18.jpg
Iris jaunes au nuage rose,CLAUDE MONET (b. 1840 d. 1926),oil on canvas,$143K,$5.8M,40.3x,39 years,https://www.masterworks.com/research/artist/claude-monet/artwork/iris-jaunes-au-nuage-rose-1925-w:1bc8f3f3213ba69,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN3783lot145.jpg
Paysage de martin,CLAUDE MONET (b. 1840 d. 1926),oil on canvas,$418K,$4.5M,10.8x,30 years,https://www.masterworks.com/research/artist/claude-monet/artwork/paysage-de-martin-1888-w:c25fecc34a5a6dc,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN3736lot29.jpg
"""étretat, coucher de soleil""",CLAUDE MONET (b. 1840 d. 1926),oil on canvas,$331.3K,$3M,9.1x,28 years,"https://www.masterworks.com/research/artist/claude-monet/artwork/%22tretat,-coucher-de-soleil%22-1883-w:3c07906d17df2fb",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN10148lot19.jpg
Antibes vu de la salis,CLAUDE MONET (b. 1840 d. 1926),oil on canvas,$1.5M,$13.3M,8.8x,30 years,https://www.masterworks.com/research/artist/claude-monet/artwork/antibes-vu-de-la-salis-1888-w:20ef8c6b08d1d60,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN9088lot41.jpg
Coin du bassin aux nymphéas,CLAUDE MONET (b. 1840 d. 1926),oil on canvas,$6.7M,$50.8M,7.6x,24 years,https://www.masterworks.com/research/artist/claude-monet/artwork/coin-du-bassin-aux-nymphas-1918-w:00ef6bbd535f887,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN10786lot26.jpg
Le palais contarini,CLAUDE MONET (b. 1840 d. 1926),oil on canvas,$4.2M,$30.8M,7.3x,17 years,https://www.masterworks.com/research/artist/claude-monet/artwork/le-palais-contarini-1908-w:a62f15a5cb43126,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL13006lot29.jpg
Meule,CLAUDE MONET (b. 1840 d. 1926),oil on canvas,$12M,$81.4M,6.8x,17 years,https://www.masterworks.com/research/artist/claude-monet/artwork/meule-1891-w:0d119a5d7060df5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN12145lot116.jpg
Au bord du fjord de christiania,CLAUDE MONET (b. 1840 d. 1926),oil on canvas,$1.2M,$7.1M,5.8x,17 years,https://www.masterworks.com/research/artist/claude-monet/artwork/au-bord-du-fjord-de-christiania-1895-w:ca0a00171a71140,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL16930lot7.jpg
"""chemin creux, pourville""",CLAUDE MONET (b. 1840 d. 1926),pastel on paper,$58.8K,$320.8K,5.5x,20 years,"https://www.masterworks.com/research/artist/claude-monet/artwork/%22chemin-creux,-pourville%22-w:69c02b41e11a8d0",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CH16901lot351.jpg
