title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Insurance bldg l.a,DAVID HOCKNEY (b. 1937),"""crayon, colored pencil and graphite on paper""",$27.5K,$2.8M,101.9x,37 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/insurance-bldg-l.a-w:a2bdfd18a317c8d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN10789lot223.jpg
Day pool with three blues (paper pool 7),DAVID HOCKNEY (b. 1937),"""colored, pressed paper pulp""",$665.8K,$10.5M,15.8x,19 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/day-pool-with-three-blues-(paper-pool-7)-1978-w:87a167b580e205f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN16977lot47.jpg
California bank,DAVID HOCKNEY (b. 1937),acrylic on canvas,$324.8K,$4.8M,14.7x,18 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/california-bank-1964-w:4edc4bc1e6f5031,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL15473lot57.jpg
Rubber plant and skeleton,DAVID HOCKNEY (b. 1937),oil and mixed media on board,$10.4K,$126.7K,12.2x,31 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/rubber-plant-and-skeleton-1960-w:8ab6b11bef86c2f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL10364lot177.jpg
Mo seated,DAVID HOCKNEY (b. 1937),ink on paper,$4K,$47.9K,11.9x,38 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/mo-seated-1968-w:e7f1292a2c1781d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SP3614lot326.jpg
Erection,DAVID HOCKNEY (b. 1937),oil on board,$5.1K,$59.1K,11.6x,29 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/erection-1961-w:308dd2c3a77a691,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL6739lot147.jpg
Pool on a cloudy day with rain (paper pool 22),DAVID HOCKNEY (b. 1937),hand coloured and pressed paper pulp,$611K,$6.3M,10.3x,19 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/pool-on-a-cloudy-day-with-rain-(paper-pool-22)-1978-w:c8b30500cf93541,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL20022lot38.jpg
Chair with a mind of its own,DAVID HOCKNEY (b. 1937),oil on canvas,$60.3K,$600K,10x,22 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/chair-with-a-mind-of-its-own-1988-w:ad8e13e9aab09d3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN17650lot259.jpg
Gauguin's chair,DAVID HOCKNEY (b. 1937),acrylic on canvas,$386.3K,$3.8M,9.9x,19 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/gauguin's-chair-1988-w:bd523cee8ea16bb,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN09761lot53.jpg
Study for floor and teapot,DAVID HOCKNEY (b. 1937),graphite and wax crayon on paper,$13.8K,$120.4K,8.7x,18 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/study-for-floor-and-teapot-w:9e608fc548fffec,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL20072lot142.jpg
California interior,DAVID HOCKNEY (b. 1937),acrylic on canvas,$211.5K,$1.8M,8.6x,19 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/california-interior-1986-w:008c1b595d9faf9,False,
Still life with flowers and lobster at odin's restaurant,DAVID HOCKNEY (b. 1937),coloured crayon on paper,$156.9K,$1.3M,8.2x,9 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/still-life-with-flowers-and-lobster-at-odin's-restaurant-w:edf008e77b47df6,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL20069lot552.jpg
