title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Garten,GERHARD RICHTER (b. 1932),"""oil on canvas, in 2 parts""",$79.7K,$12.7M,159.6x,29 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/garten-1982-w:bc62ccee747a839,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL16024lot1164.jpg
Umgeschlagenes blatt (turned sheet),GERHARD RICHTER (b. 1932),oil on canvas,$14.9K,$917.9K,61.6x,29 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/umgeschlagenes-blatt-(turned-sheet)-1966-w:780f9849823710e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/LL18362lot1208.jpg
Seestück (leicht bewölkt),GERHARD RICHTER (b. 1932),oil on canvas,$458.8K,$19.3M,42.2x,19 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/seestck-(leicht-bewlkt)-1969-w:d0a4ab875da2ec2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2557lot35.jpg
Sternbild,GERHARD RICHTER (b. 1932),oil on canvas,$4.2K,$177.1K,41.7x,16 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/sternbild-1970-w:5aabcf939a6a650,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL5895lot39.jpg
"""a b, brick tower""",GERHARD RICHTER (b. 1932),oil on canvas,$534K,$22.1M,41.4x,14 years,"https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/%22a-b,-brick-tower%22-1987-w:65436c5c528faca",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL15022lot28.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$63K,$2M,31.8x,22 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1986-w:be08b3e982f6499,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL10337lot66.jpg
Umgeschlagene blätter (turned sheets),GERHARD RICHTER (b. 1932),oil on canvas,$80.4K,$2.4M,29.3x,10 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/umgeschlagene-bltter-(turned-sheets)-1965-w:6dde308442fae05,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL8053lot157.jpg
Frost (1),GERHARD RICHTER (b. 1932),oil on canvas,$2.8M,$79.3M,27.9x,13 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/frost-(1)-1989-w:ec2df1029fede8c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CH20201lot46.jpg
Wolken (fenster) (clouds (window)),GERHARD RICHTER (b. 1932),"""oil on canvas, in four parts""",$552.5K,$13.5M,24.5x,23 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/wolken-(fenster)-(clouds-(window))-1970-w:5efce3b819c39aa,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL10863lot126.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$1.2M,$28.3M,22.6x,10 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1992-w:6c5210d0acfc513,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08678lot45.jpg
Untitled (1.12.88),GERHARD RICHTER (b. 1932),oil on photograph,$4.4K,$98.3K,22.3x,27 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/untitled-(1.12.88)-1988-w:fbbaffbec60a043,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL16936lot533.jpg
Abstraktes bild (682-4),GERHARD RICHTER (b. 1932),oil on canvas,$209.7K,$4.2M,19.9x,17 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-(682-4)-1988-w:f2756ca40a08007,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SHK010320lot182.jpg
Abstraktes bild (809-2),GERHARD RICHTER (b. 1932),oil on canvas,$1.1M,$22.1M,19.4x,15 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-(809-2)-1994-w:5ce374bca58b50e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN12156lot31A.jpg
Untitled,GERHARD RICHTER (b. 1932),oil on canvas,$27.3K,$504.2K,18.5x,24 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/untitled-1965-w:d7c4c468846a008,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL1107lot663.jpg
Abstraktes bild (809-1),GERHARD RICHTER (b. 1932),oil on canvas,$1.1M,$20.9M,18.3x,12 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-(809-1)-1994-w:9bf385ad42add67,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2791lot31B.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$35K,$619K,17.7x,29 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-w:f3962e5b07899d2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL20072lot130.jpg
Grün-blau-rot (green-blue-red),GERHARD RICHTER (b. 1932),oil on canvas,$37.1K,$468.8K,12.6x,13 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/grn-blau-rot-(green-blue-red)-1993-w:b7329b798f2fbc7,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL12245lot717.jpg
Ohne titel (untitled),GERHARD RICHTER (b. 1932),oil on canvas,$68.5K,$792.2K,11.6x,23 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/ohne-titel-(untitled)-1970-w:f7f43a803b7521d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL15485lot262.jpg
Fuji,GERHARD RICHTER (b. 1932),oil on aluminium,$35.3K,$364.7K,10.3x,13 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/fuji-1996-w:efc5bf9dba7514c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL1107lot175.jpg
18.4.88,GERHARD RICHTER (b. 1932),watercolor and graphite on canvas,$11.5K,$118.8K,10.3x,23 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/18.4.88-1988-w:ce3c7f7977db65e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN15969lot239.jpg
