title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$20.9K,$110.5M,"5,286.5x",33 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:c5475548a5dd065,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN09761lot24.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$4.2K,$3M,721.4x,29 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:3a977f431fc984d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PUK010113lot12.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$8.1K,$3.6M,446.8x,22 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:9016b873af83dee,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN09345lot42.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),oilstick on paper,$4.8K,$1.2M,256.3x,29 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-1982-w:0e5729ceb23978c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN20001lot125.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),oilstick and pastel on paper,$2.2K,$561K,255x,31 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:4733a8886abbaeb,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN17651lot848.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic and oilstick on wood panel,$122.4K,$29.3M,239.3x,21 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:c0dd3185bf44e9d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2791lot15.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),"""oilstick, acrylic and spray enamel on canvas """,$110K,$26M,236.8x,24 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:0440377696fc4fb,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2597lot42.jpg
Untitled (plush safe he think),JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic and oil stick on board,$5.5K,$1M,188.4x,28 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-(plush-safe-he-think)-w:4a08db9a38618f9,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL11798lot139.jpg
Hannibal,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$70K,$13.1M,187.7x,23 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/hannibal-w:f03c6b304bf91e9,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL16024lot25.jpg
Furious man,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),"""oilstick, acrylic, wax crayon and ink on paper """,$37.4K,$5.7M,153x,23 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/furious-man-w:99d57bf82209876,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2785lot6.jpg
Jim crow,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylique et crayon gras sur bois,$120.5K,$17.7M,146.6x,25 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/jim-crow-w:3ce0eaae90d961f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CP14890lot14B.jpg
Multiflavors,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic and oilstick on canvas with tied wood supports,$147K,$16.7M,113.8x,28 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/multiflavors-w:4201a3cbd2cfb53,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL15473lot8.jpg
Extra cigarette,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic and oilstick on wood and glass window with chain,$51.8K,$5.6M,109x,26 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/extra-cigarette-w:389661c6a54c86f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN17649lot35B.jpg
La hara,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic and oilstick on wood panel,$342K,$35M,102.2x,28 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/la-hara-w:662c188d8842119,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN14187lot55B.jpg
Natives carrying things,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$43.1K,$4M,93.5x,24 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/natives-carrying-things-w:057f5361c47551f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL19024lot15.jpg
In this case,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic and oilstick on canvas,$999.5K,$93.1M,93.2x,19 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/in-this-case-1983-w:b103e2e519c023f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN20000lot8A.jpg
Minor success,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$36.4K,$3M,81.3x,28 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/minor-success-w:211f0eeba7a2403,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL20024lot117.jpg
Man struck by lightning--2 witnesses,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic and oilstick on canvas with wooden supports,$60.5K,$4.8M,79.1x,22 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/man-struck-by-lightning-2-witnesses-w:bf13095490527e1,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2314lot44.jpg
