title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Untitled,MARK ROTHKO (b. 1903 d. 1970),"""oil on paper, mounted on masonite""",$30.3K,$4.1M,135x,38 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1959-w:9cd9072cb94393e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010714lot310A.jpg
Untitled (black and gray),MARK ROTHKO (b. 1903 d. 1970),acrylic on canvas,$121K,$10.7M,88.3x,26 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-(black-and-gray)-1969-w:4f2978fde6bffed,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1903lot53.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),oil on paper mounted on canvas,$48.4K,$2.6M,54.3x,32 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1964-w:275e3ae3e6287df,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2848lot35.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),388.62 cm x 439.42 cm,$1.2M,$31.3M,25.8x,22 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1967-w:c1738cf57a5a1d6,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN19872lot320.jpg
Saffron,MARK ROTHKO (b. 1903 d. 1970),oil on canvas,$1.3M,$32.4M,25.8x,26 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/saffron-1957-w:5faa93c746176d1,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN14995lot47.jpg
"""black stripe (orange, gold, and black)""",MARK ROTHKO (b. 1903 d. 1970),oil on canvas,$882.5K,$21.4M,24.2x,19 years,"https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/%22black-stripe-(orange,-gold,-and-black)%22-1957-w:0aa2c86f8939376",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2597lot35.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),acrylic on paper laid down on panel,$95K,$1.8M,19x,11 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1968-w:8abdcc21ab2adc9,False,
"""no. 6 (yellow, white, blue over yellow on gray)""",MARK ROTHKO (b. 1903 d. 1970),oil on canvas,$924K,$17.4M,18.8x,17 years,"https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/%22no.-6-(yellow,-white,-blue-over-yellow-on-gray)%22-1954-w:ab185c2d233b512",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08026lot20.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),oil on canvas,$1.9M,$31.4M,16.8x,13 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1961-w:250c6c7871fe4c1,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08636lot107.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),oil on canvas,$770K,$12.2M,15.9x,24 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1950-w:f847c3b4baa3afa,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN09141lot8A.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),acrylic on canvas,$882.5K,$12.1M,13.7x,11 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1969-w:57b269440271fae,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08363lot21.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),oil on paper mounted on canvas,$123.5K,$1.6M,13.3x,14 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1958-w:e6aa381cceb53cd,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL08020lot2.jpg
"""white, orange and yellow""",MARK ROTHKO (b. 1903 d. 1970),tempera on paper mounted on board,$332.5K,$4.2M,12.5x,12 years,"https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/%22white,-orange-and-yellow%22-1953-w:c16368609ee8fc1",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08201lot30.jpg
No. 9 (white and black on wine),MARK ROTHKO (b. 1903 d. 1970),oil on canvas,$1.8M,$16.4M,9x,20 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/no.-9-(white-and-black-on-wine)-1958-w:226f468611d860e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1232lot88.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),oil on paper laid down on canvas,$451K,$4M,8.9x,24 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1969-w:5630d4aa84c5891,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL13020lot139.jpg
"""black, red-brown on violet""",MARK ROTHKO (b. 1903 d. 1970),acrylic on paper mounted on panel,$231K,$1.7M,7.1x,21 years,"https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/%22black,-red-brown-on-violet%22-1969-w:757e612508efd11",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08550lot122.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),acrylic on paper laid down on board,$610.2K,$3.9M,6.3x,16 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1969-w:68d0ef45edf30b0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN3740lot50.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),oil on paper laid down on panel,$310.5K,$1.8M,5.7x,8 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1959-w:6b300d5135f72ea,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL7024lot145.jpg
Black blue painting,MARK ROTHKO (b. 1903 d. 1970),"""oil on paper, laid on linen""",$770K,$3.9M,5.1x,31 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/black-blue-painting-1968-w:594a9c9f74e983e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010718lot164.jpg
Blue over red,MARK ROTHKO (b. 1903 d. 1970),oil on canvas,$5.6M,$26.5M,4.7x,14 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/blue-over-red-1953-w:fd41af487c0e83b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN10149lot48.jpg
No. 15,MARK ROTHKO (b. 1903 d. 1970),oil on canvas,$11M,$50.4M,4.6x,9 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/no.-15-1952-w:1bb0602301635a3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1997lot24.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),tempera on paper mounted on canvas,$442.5K,$1.7M,3.8x,6 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1969-w:51dd2f0db9def75,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL6923lot42.jpg
No. 10,MARK ROTHKO (b. 1903 d. 1970),oil on canvas,$1.7M,$4.4M,2.6x,9 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/no.-10-1949-w:a007e6ca035395f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL14022lot26.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),oil on canvas,$1M,$1.9M,1.8x,4 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1948-w:102342c471f4958,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2314lot24.jpg
"""untitled (red, blue, orange)""",MARK ROTHKO (b. 1903 d. 1970),oil on canvas,$34.2M,$56.2M,1.6x,7 years,"https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/%22untitled-(red,-blue,-orange)%22-1955-w:8a473224d4d70c8",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CNY010314lot12.jpg
Untitled,MARK ROTHKO (b. 1903 d. 1970),acrylic on paper,$3.6M,$3.7M,1x,7 years,https://www.masterworks.com/research/artist/MARK-ROTHKO/artwork/untitled-1969-w:166897d7e69c440,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CNY010321lot70.jpg
