title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Étreinte,PABLO PICASSO (b. 1881 d. 1973),white wax crayon and pencil on red paper,$114K,$4.9M,42.7x,9 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/treinte-1971-w:4362dbc4ef93faa,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL13006lot30.jpg
Femme dans un fauteuil,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$468K,$17.2M,36.7x,37 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-dans-un-fauteuil-1941-w:5242769c87f6985,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PN19809lot77.jpg
Portrait de femme endormie. iii,PABLO PICASSO (b. 1881 d. 1973),colored crayon on paper,$268.9K,$9.3M,34.6x,23 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/portrait-de-femme-endormie.-iii-1946-w:49bdf1259fd0828,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/MNY010717lot54.jpg
Femme assise en costume vert,PABLO PICASSO (b. 1881 d. 1973),oil on board,$619.6K,$20.9M,33.8x,35 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-assise-en-costume-vert-1953-w:b42cce3bdf2749d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN10680lot75.jpg
Baigneuse et cabine de bains,PABLO PICASSO (b. 1881 d. 1973),pen and ink and wash on paper,$24K,$623.1K,26x,7 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/baigneuse-et-cabine-de-bains-1938-w:c3aa193d35aa0cd,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL18004lot23.jpg
Nu assis,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$242K,$5.6M,23.2x,33 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/nu-assis-1969-w:27f4764e3165424,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN17658lot484.jpg
Buste de femme assise,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$535.7K,$11.2M,20.9x,27 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/buste-de-femme-assise-1962-w:a26999fedff4424,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN10572lot48.jpg
Homme � la pipe,PABLO PICASSO (b. 1881 d. 1973),oil and ripolin on canvas,$834.8K,$15.4M,18.5x,22 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/homme--la-pipe-w:fbc9b6da9c9f3c8,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN20180lot58C.jpg
Diurnes,PABLO PICASSO (b. 1881 d. 1973),wax crayon on paper,$4.1K,$74.4K,18x,36 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/diurnes-1962-w:2bf76c56cfef3b5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SP14075lot180.jpg
Tête à l'oiseau,PABLO PICASSO (b. 1881 d. 1973),oil on cavnas,$143.8K,$2.2M,15.5x,27 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/tte--l'oiseau-1971-w:10a6a5fb9b49bd3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN09416lot50.jpg
Femme assise,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$329.9K,$4.8M,14.6x,34 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-assise-1929-w:69063bd92d8ca6a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN10368lot32.jpg
Femme assise près d'une fenêtre (marie-thérèse),PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$7.5M,$103.4M,13.8x,24 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-assise-prs-d'une-fentre-(marie-thrse)-1932-w:dfefa9ff739d9d2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN19809lot50.jpg
Le hibou gris,PABLO PICASSO (b. 1881 d. 1973),painted earthenware,$200.5K,$2.4M,12x,21 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-hibou-gris-1953-w:a9c61129f3cde9e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN15979lot355.jpg
Le pot de fleurs sur fond noir,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$308K,$3.7M,12x,24 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-pot-de-fleurs-sur-fond-noir-1932-w:7a2b42013bf035b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL7974lot45.jpg
Cercle,PABLO PICASSO (b. 1881 d. 1973),pencil on paper,$1.5K,$17.2K,11.8x,20 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/cercle-1950-w:ce9d285e6c14985,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CC-L11133lot2.jpg
