title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Rose,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$1.7K,$1.1M,652.8x,31 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/rose-1955-w:4c184d11d5d75d3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CP4038lot30.jpg
25.05.62,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$44K,$5.9M,134.9x,24 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/25.05.62-1962-w:a5d4b22f95726c3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CH3357lot61.jpg
07.04.61,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$88.8K,$7.2M,80.8x,19 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/07.04.61-1961-w:d4d2a98f9414124,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SHK0562lot548.jpg
6.2.89,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$39.5K,$3.1M,78x,26 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/6.2.89-1989-w:155b53bfdff006b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/LP17693lot48A.jpg
Zitterlein,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$66.3K,$4.7M,71.3x,19 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/zitterlein-1956-w:25b5b91bb498111,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/APF2145lot955.jpg
Ville engloutie,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$73.4K,$4M,54.5x,22 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/ville-engloutie-1954-w:e308c1c1d3febfc,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SHK0886lot326.jpg
Voie lactée - 09.11.1956,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$182.4K,$8M,43.6x,21 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/voie-lacte---09.11.1956-1956-w:78c4c703c8cd951,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CS17575lot720.jpg
Il neige,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$30.5K,$1.2M,41x,18 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/il-neige-1955-w:7ca72b057dc0e54,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CHK0628lot294.jpg
01.10.62,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$91.2K,$3.1M,33.8x,21 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/01.10.62-1962-w:9a55ce8de7ee476,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CHK0886lot231.jpg
Juin-octobre 1985,ZAO WOU KI (b. 1920 d. 2013),oil on canvas (triptych),$2.3M,$65.2M,28.1x,13 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/juin-octobre-1985-1985-w:347496c961fc1db,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CHK0809lot241.jpg
San lazzaro et ses amis,ZAO WOU KI (b. 1920 d. 2013),lithograph,$378,$8.9K,23.5x,less than a year,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/san-lazzaro-et-ses-amis-1975-w:5ed7a8801c83f2f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/GHK0390lot389.jpg
02.11.59,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$600K,$12.1M,20.1x,11 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/02.11.59-1959-w:20fe4a65e67983e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CH13275lot1014.jpg
Untitled,ZAO WOU KI (b. 1920 d. 2013),ink and watercolour on paper,$6.1K,$104.1K,17.1x,8 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/untitled-1954-w:1ac458085763a61,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SH13272lot145.jpg
Cité se réveille (rising city),ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$293.9K,$4.5M,15.2x,19 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/cit-se-rveille-(rising-city)-1956-w:9fb274821a93d07,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CH15618lot228.jpg
Composition,ZAO WOU KI (b. 1920 d. 2013),ink on paper,$14.3K,$209.5K,14.6x,15 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/composition-1984-w:042493a28eff9d4,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CHK0654lot426.jpg
27.01.83,ZAO WOU KI (b. 1920 d. 2013),oil on canvas,$134.8K,$1.4M,10.1x,10 years,https://www.masterworks.com/research/artist/ZAO-WOU-KI/artwork/27.01.83-1983-w:f633b27782ba64f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CHK0534lot770.jpg
